,Date,Hour,AM/PM,Wind_Speed,Rain_Ml,Condition,Only_Hour,Full_Hour
184,2015-01-08,4:00,PM,13.0,0.0,Fair,4,16
185,2015-01-08,5:00,PM,15.0,0.0,Fair,5,17
186,2015-01-08,6:00,PM,19.0,0.0,Fair,6,18
187,2015-01-08,7:00,PM,24.0,0.0,Partly Cloudy,7,19
188,2015-01-08,8:00,PM,22.0,0.0,Partly Cloudy,8,20
189,2015-01-08,9:00,PM,19.0,0.0,Partly Cloudy,9,21
190,2015-01-08,10:00,PM,15.0,0.0,Fair,10,22
191,2015-01-08,11:00,PM,11.0,0.0,Fair,11,23
192,2015-01-09,12:00,AM,15.0,0.0,Partly Cloudy,12,0
193,2015-01-09,1:00,AM,24.0,0.0,Partly Cloudy,1,1
194,2015-01-09,2:00,AM,20.0,0.0,Partly Cloudy,2,2
195,2015-01-09,3:00,AM,24.0,0.0,T-Storm,3,3
196,2015-01-09,4:00,AM,20.0,0.0,Partly Cloudy,4,4
197,2015-01-09,5:00,AM,13.0,0.0,Mostly Cloudy,5,5
198,2015-01-09,6:00,AM,17.0,0.0,Partly Cloudy,6,6
199,2015-01-09,7:00,AM,19.0,0.0,Mostly Cloudy,7,7
200,2015-01-09,7:40,AM,22.0,0.0,Rain,7,7
201,2015-01-09,7:50,AM,24.0,0.0,Rain,7,7
202,2015-01-09,8:00,AM,22.0,0.0,Light Rain,8,8
203,2015-01-09,8:38,AM,17.0,0.0,T-Storm,8,8
204,2015-01-09,8:45,AM,20.0,0.0,T-Storm,8,8
205,2015-01-09,9:00,AM,31.0,0.0,T-Storm,9,9
206,2015-01-09,9:19,AM,13.0,0.0,T-Storm,9,9
207,2015-01-09,9:26,AM,17.0,0.0,T-Storm,9,9
208,2015-01-09,9:42,AM,19.0,0.0,T-Storm,9,9
209,2015-01-09,10:00,AM,26.0,0.0,T-Storm,10,10
210,2015-01-09,10:10,AM,7.0,0.0,Light Rain,10,10
211,2015-01-09,10:42,AM,13.0,0.0,Partly Cloudy,10,10
212,2015-01-09,11:00,AM,11.0,0.0,Partly Cloudy,11,11
213,2015-01-09,12:00,PM,22.0,0.0,Fair,12,12
214,2015-01-09,1:00,PM,19.0,0.0,Partly Cloudy,1,13
215,2015-01-09,2:00,PM,22.0,0.0,Fair,2,14
216,2015-01-10,12:00,AM,13.0,0.0,Fair,12,0
217,2015-01-10,12:05,AM,30.0,0.0,Fair,12,0
218,2015-01-10,1:00,AM,35.0,0.0,Fair / Windy,1,1
219,2015-01-10,2:00,AM,26.0,0.0,Fair,2,2
220,2015-01-10,3:00,AM,20.0,0.0,Fair,3,3
221,2015-01-10,4:00,AM,20.0,0.0,Fair,4,4
222,2015-01-10,5:00,AM,17.0,0.0,Fair,5,5
223,2015-01-10,6:00,AM,15.0,0.0,Fair,6,6
224,2015-01-10,7:00,AM,20.0,0.0,Fair,7,7
225,2015-01-10,8:00,AM,17.0,0.0,Fair,8,8
226,2015-01-10,9:00,AM,19.0,0.0,Partly Cloudy,9,9
227,2015-01-10,10:00,AM,17.0,0.0,Mostly Cloudy,10,10
228,2015-01-10,11:00,AM,13.0,0.0,Fair,11,11
229,2015-01-10,12:00,PM,9.0,0.0,Fair,12,12
230,2015-01-10,1:00,PM,9.0,0.0,Fair,1,13
231,2015-01-10,2:00,PM,9.0,0.0,Fair,2,14
232,2015-01-10,3:00,PM,9.0,0.0,Fair,3,15
233,2015-01-10,4:00,PM,9.0,0.0,Fair,4,16
234,2015-01-10,5:00,PM,13.0,0.0,Fair,5,17
235,2015-01-10,6:00,PM,13.0,0.0,Fair,6,18
236,2015-01-10,7:00,PM,11.0,0.0,Fair,7,19
237,2015-01-10,8:00,PM,11.0,0.0,Fair,8,20
238,2015-01-10,9:00,PM,9.0,0.0,Fair,9,21
239,2015-01-10,10:00,PM,7.0,0.0,Fair,10,22
240,2015-01-11,12:00,AM,7.0,0.0,Fair,12,0
241,2015-01-11,1:00,AM,7.0,0.0,Mostly Cloudy,1,1
242,2015-01-11,2:00,AM,7.0,0.0,Mostly Cloudy,2,2
243,2015-01-11,3:00,AM,20.0,0.0,Mostly Cloudy,3,3
244,2015-01-11,4:00,AM,20.0,0.0,Partly Cloudy,4,4
245,2015-01-11,5:00,AM,11.0,0.0,Fair,5,5
246,2015-01-11,6:00,AM,19.0,0.0,Fair,6,6
247,2015-01-11,8:00,AM,11.0,0.0,Fair,8,8
248,2015-01-11,9:00,AM,13.0,0.0,Fair,9,9
249,2015-01-11,10:00,AM,17.0,0.0,Fair,10,10
250,2015-01-11,11:00,AM,22.0,0.0,Fair,11,11
